Permutation,Q2_Scrambled
842,-0.050420099898854875
843,-0.03892845049908278
844,-0.08609428221597137
845,-0.16509979568786237
846,-0.1251681371136475
847,-0.10360933497872882
848,0.08491520847962686
849,-0.016614901878528432
850,-0.12380815265522904
851,-0.13892595499822558
852,-0.09073840674385503
853,-0.064719033071164
854,-0.3382748247307632
855,-0.07108264076917159
856,-0.16742213679211626
857,0.010530581609544898
858,-0.1179298871531318
859,-0.2569462148327888
860,-0.22370788713829937
861,-0.165078004887673
862,-0.06019689450773513
863,0.007272775875427295
864,-0.12137305495912387
865,-0.09123310329048939
866,-0.1375023633240653
867,-0.1212109609762071
868,-0.18675264607407382
869,-0.07492704544998352
870,-0.10958413938320555
871,-0.1685959699540982
872,-0.19566568659916683
873,-0.24846520883529077
874,-0.1046053323174394
875,-0.18397401012415426
876,-0.024250474062341487
877,-0.03279045851189322
878,-0.12314759721938051
879,-0.02397489357390503
880,0.004797245696648078
881,-0.2226334616992358
882,-0.19032545750994978
883,-0.1721652974838601
884,-0.19945123766906203
885,-0.06621499096308381
886,-0.020634500396826905
887,-0.08509349126754562
888,-0.09310025642066089
889,-0.08156764980676678
890,-0.0651527597250312
891,-0.08482723369036282
892,-0.027474908845587898
893,-0.08227895108557459
894,-0.2492973886398735
895,-0.11563672850374607
896,-0.10144615913916444
897,-0.294871741449801
898,-0.1879036740640454
899,-0.03851757937457312
900,-0.32609655303455964
901,-0.018090095822965058
902,-0.018173173511669694
903,-0.23806734456331147
904,-0.020708380555623185
905,0.006778824975205322
906,-0.05646229216532239
907,-0.16470916240280586
908,-0.2042259423189885
909,-0.14360816870502613
910,-0.09373662297660723
911,0.05761327727073817
912,-0.09353189847017318
913,-0.21605060503714824
914,-0.032084762300779834
915,-0.0989352552794096
916,0.05001839095899252
917,-0.13127000325277072
918,-0.12226263041272722
919,-0.056974254864434526
920,-0.2207601082696291
921,-0.10176696067410118
922,-0.0568038961196331
923,-0.01106290328134385
924,-0.10409413847794169
925,-0.12817338882374218
926,-0.1221879256375753
927,-0.15930856403786486
928,-0.143451839789851
929,0.030393694859964904
930,-0.37025399453575614
931,-0.0796632912237838
932,-0.22165991940439378
933,-0.13226501098529586
934,-0.01987557377492921
935,-0.3403364059625371
936,-0.11091193658959653
937,-0.36665943172503934
938,0.15942879077897387
939,-0.2286230223660326
940,-0.02513640448357335
941,-0.08560067829658813
942,-0.060581841330219266
943,-0.1342975667677242
944,-0.07180474256331526
945,-0.20744803648787102
946,-0.10129020228027241
947,-0.030902000204034108
948,-0.1026815212967449
949,-0.06521905630723501
950,-0.16509265394357464
951,0.003932027031038454
952,-0.4482566204702496
953,-0.026729916056253744
954,-0.1905035211978554
955,-0.0027206373422123953
956,-0.11610261123946497
957,-0.05457063220933889
958,-0.07831302163183751
959,-0.10045676839249928
960,-0.26809857165174944
961,-0.058276168846441934
962,-0.15752432981571984
963,-0.007372227955110278
964,-0.07791139401850211
965,-0.10198480984004021
966,-0.10487171455782418
967,-0.19593753759446608
968,-0.028920997755017552
969,0.005369646321631394
970,-0.037144551347033206
971,-0.17692819676358384
972,-0.20248782830719425
973,-0.034757312334969814
974,-0.19372327164488512
975,-0.09672375936028299
976,-0.06447061299018508
977,-0.054736647306953046
978,-0.14441492949570045
979,-0.09971625228044378
980,-0.06225142223744329
981,-0.10588620789581871
982,-0.0584745882924993
983,-0.026906563701207142
984,-0.115109758704802
985,-0.08327611600360085
986,-0.15003812660573423
987,-0.07589543633185603
988,-0.08305490160804485
989,-0.10528125909909947
990,-0.39584074246335677
991,-0.2641788192182313
992,-0.08694844777176436
993,-0.13437159034143997
994,-0.06920207289887204
995,-0.3348665536612725
996,-0.09879341757800675
997,-0.04650187386300364
998,0.031028055552422273
999,-0.2567960278255732
1000,-0.08362238799258792
